msa_name,pop_2018
"Seattle-Bellevue-Everett, WA Metro Division",3048064
"Tacoma-Lakewood, WA Metro Division",891299
"Sebastian-Vero Beach, FL Metro Area",157413
"Sebring, FL Metro Area",105424
"Sheboygan, WI Metro Area",115456
"Sherman-Denison, TX Metro Area",133991
"Shreveport-Bossier City, LA Metro Area",436341
"Sierra Vista-Douglas, AZ Metro Area",126770
"Sioux City, IA-NE-SD Metro Area",169045
"Sioux Falls, SD Metro Area",265653
"South Bend-Mishawaka, IN-MI Metro Area",322424
"Spartanburg, SC Metro Area",341298
"Spokane-Spokane Valley, WA Metro Area",573493
"Springfield, IL Metro Area",207636
"Springfield, MA Metro Area",631761
"Springfield, MO Metro Area",466978
"Springfield, OH Metro Area",134585
"State College, PA Metro Area",162805
"Staunton-Waynesboro, VA Metro Area",123007
"Stockton-Lodi, CA Metro Area",752660
"Sumter, SC Metro Area",106512
"Syracuse, NY Metro Area",650502
"Tallahassee, FL Metro Area",385145
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3142663
"Terre Haute, IN Metro Area",169725
"Texarkana, TX-AR Metro Area",150242
"The Villages, FL Metro Area",128754
"Toledo, OH Metro Area",602871
"Topeka, KS Metro Area",232594
"Trenton, NJ Metro Area",369811
"Tucson, AZ Metro Area",1039073
"Tulsa, OK Metro Area",993797
"Tuscaloosa, AL Metro Area",243575
"Twin Falls, ID Metro Area",110096
"Tyler, TX Metro Area",230221
"Urban Honolulu, HI Metro Area",980080
"Utica-Rome, NY Metro Area",291410
"Valdosta, GA Metro Area",146174
"Vallejo-Fairfield, CA Metro Area",446610
"Victoria, TX Metro Area",99619
"Vineland-Bridgeton, NJ Metro Area",150972
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1728733
"Visalia-Porterville, CA Metro Area",465861
"Waco, TX Metro Area",271942
"Walla Walla, WA Metro Area",64981
"Warner Robins, GA Metro Area",193835
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6249950
"Silver Spring-Frederick-Rockville, MD Metro Division",1308215
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",4941735
"Waterloo-Cedar Falls, IA Metro Area",169659
"Watertown-Fort Drum, NY Metro Area",111755
"Wausau, WI Metro Area",135428
"Weirton-Steubenville, WV-OH Metro Area",117064
"Wenatchee, WA Metro Area",119943
"Wheeling, WV-OH Metro Area",140045
"Wichita, KS Metro Area",644888
"Wichita Falls, TX Metro Area",151306
"Williamsport, PA Metro Area",113664
"Wilmington, NC Metro Area",294436
"Winchester, VA-WV Metro Area",139810
"Winston-Salem, NC Metro Area",671456
"Worcester, MA-CT Metro Area",947866
"Yakima, WA Metro Area",251446
"York-Hanover, PA Metro Area",448273
"Youngstown-Warren-Boardman, OH-PA Metro Area",538952
"Yuba City, CA Metro Area",174848
"Yuma, AZ Metro Area",212128
In micropolitan statistical area,27627895
"Aberdeen, SD Micro Area",43191
"Aberdeen, WA Micro Area",73901
"Ada, OK Micro Area",38247
"Adrian, MI Micro Area",98266
"Alamogordo, NM Micro Area",66781
"Albemarle, NC Micro Area",62075
"Albert Lea, MN Micro Area",30444
"Albertville, AL Micro Area",96109
"Alexander City, AL Micro Area",40497
"Alexandria, MN Micro Area",37964
"Alice, TX Micro Area",40822
"Alma, MI Micro Area",40599
"Alpena, MI Micro Area",28360
"Altus, OK Micro Area",24949
"Americus, GA Micro Area",34969
"Amsterdam, NY Micro Area",49455
"Andrews, TX Micro Area",18128
"Angola, IN Micro Area",34586
"Arcadia, FL Micro Area",37489
"Ardmore, OK Micro Area",48177
"Arkadelphia, AR Micro Area",22061
"Arkansas City-Winfield, KS Micro Area",35218
"Ashland, OH Micro Area",53745
"Ashtabula, OH Micro Area",97493
"Astoria, OR Micro Area",39764
"Atchison, KS Micro Area",16193
"Athens, OH Micro Area",65818
"Athens, TN Micro Area",53285
"Athens, TX Micro Area",82299
"Atmore, AL Micro Area",36748
"Auburn, IN Micro Area",43226
"Auburn, NY Micro Area",77145
"Augusta-Waterville, ME Micro Area",122083
"Austin, MN Micro Area",40011
"Bainbridge, GA Micro Area",26575
"Baraboo, WI Micro Area",64249
"Bardstown, KY Micro Area",45851
"Barre, VT Micro Area",58140
"Bartlesville, OK Micro Area",51843
"Bastrop, LA Micro Area",25398
"Batavia, NY Micro Area",57511
"Batesville, AR Micro Area",37678
"Bay City, TX Micro Area",36552
"Beatrice, NE Micro Area",21493
"Beaver Dam, WI Micro Area",87847
"Bedford, IN Micro Area",45668
"Beeville, TX Micro Area",32587
"Bellefontaine, OH Micro Area",45358
"Bemidji, MN Micro Area",46847
"Bennettsville, SC Micro Area",26398
"Bennington, VT Micro Area",35631
"Berlin, NH-VT Micro Area",37839
"Big Rapids, MI Micro Area",43545
"Big Spring, TX Micro Area",37847
"Big Stone Gap, VA Micro Area",56503
"Blackfoot, ID Micro Area",46236
"Bluefield, WV-VA Micro Area",99986
"Blytheville, AR Micro Area",41239
"Bogalusa, LA Micro Area",46582
"Bonham, TX Micro Area",35286
"Boone, IA Micro Area",26346
"Boone, NC Micro Area",55945
"Borger, TX Micro Area",21198
"Bozeman, MT Micro Area",111876
"Bradford, PA Micro Area",40968
"Brainerd, MN Micro Area",94408
"Branson, MO Micro Area",87601
"Breckenridge, CO Micro Area",31007
"Brenham, TX Micro Area",35108
"Brevard, NC Micro Area",34215
"Brookhaven, MS Micro Area",34205
"Brookings, OR Micro Area",22813
"Brookings, SD Micro Area",35232
"Brownsville, TN Micro Area",17335
"Brownwood, TX Micro Area",37924
"Bucyrus, OH Micro Area",41550
"Burley, ID Micro Area",44689
"Burlington, IA-IL Micro Area",45847
"Butte-Silver Bow, MT Micro Area",34993
"Cadillac, MI Micro Area",48579
"Calhoun, GA Micro Area",57685
"Cambridge, MD Micro Area",31998
"Cambridge, OH Micro Area",39022
"Camden, AR Micro Area",28883
"Campbellsville, KY Micro Area",25549
"Cañon City, CO Micro Area",48021
"Canton, IL Micro Area",34844
"Carlsbad-Artesia, NM Micro Area",57900
"Carroll, IA Micro Area",20154
"Cedar City, UT Micro Area",52775
"Cedartown, GA Micro Area",42470
"Celina, OH Micro Area",40959
"Central City, KY Micro Area",30774
"Centralia, IL Micro Area",37620
"Centralia, WA Micro Area",79604
"Charleston-Mattoon, IL Micro Area",61693
"Chillicothe, OH Micro Area",76931
"Claremont-Lebanon, NH-VT Micro Area",217215
"Clarksburg, WV Micro Area",92822
"Clarksdale, MS Micro Area",22628
"Clearlake, CA Micro Area",64382
"Cleveland, MS Micro Area",31333
"Clewiston, FL Micro Area",41556
"Clinton, IA Micro Area",46518
"Clovis, NM Micro Area",49437
"Coffeyville, KS Micro Area",32120
"Coldwater, MI Micro Area",43622
"Columbus, MS Micro Area",58930
"Columbus, NE Micro Area",33363
"Concord, NH Micro Area",151132
"Connersville, IN Micro Area",23047
"Cookeville, TN Micro Area",112669
"Coos Bay, OR Micro Area",64389
"Cordele, GA Micro Area",22601
"Corinth, MS Micro Area",36925
"Cornelia, GA Micro Area",45388
"Corning, NY Micro Area",95796
"Corsicana, TX Micro Area",49565
"Cortland, NY Micro Area",47823
"Coshocton, OH Micro Area",36629
"Craig, CO Micro Area",13188
"Crawfordsville, IN Micro Area",38346
"Crescent City, CA Micro Area",27828
"Crossville, TN Micro Area",59673
"Cullman, AL Micro Area",83442
"Cullowhee, NC Micro Area",43327
"Danville, KY Micro Area",54744
"Danville, VA Micro Area",101642
"Dayton, TN Micro Area",33044
"Decatur, IN Micro Area",35636
"Defiance, OH Micro Area",38165
"Del Rio, TX Micro Area",49208
