,Unnamed: 0_x,address,city,country_left,event_date,event_name,genre,is_presale,latitude_left,longitude_left,max_tickets,num_markets,onsale_date,postalCode,price_max,price_min,sold_out,state,subgenre,url,venue_name_left,Unnamed: 0_y,Venue,City,Capacity,popularity_sk,headliner,support,event_time,id_y,street,zip,metro_area,country_right,city_name
12293,92,2695 E. Katella,Anaheim,US,2019-09-12 03:00:00+00:00,Elton John: Farewell Yellow Brick Road,Rock,0,33.80780364,-117.87653112,,1.0,2018-04-20 17:00:00+00:00,92806,249.5,59.5,0.0,CA,Pop,https://www.ticketmaster.com/elton-john-farewell-yellow-brick-road-anaheim-california-09-11-2019/event/0900546CA9893C2E,Honda Center,33.0,Honda Center,Anaheim,"18,325 ",0.063552,Jimmy Buffett,,2019-10-12 20:00:00-07:00,6787,2695 E. Katella Ave.,92806,Los Angeles,US,Anaheim
326423,7,801 Lincoln St.,Columbia,US,2019-09-11 23:30:00+00:00,Hootie & The Blowfish: Group Therapy Tour,Rock,1,33.9942619,-81.03610400000002,4,1.0,2019-03-01 15:00:00+00:00,29208,149.5,29.5,0.0,SC,Pop,https://www.ticketmaster.com/hootie-the-blowfish-group-therapy-tour-columbia-south-carolina-09-11-2019/event/2D005638F3B08B38,Colonial Life Arena,537.0,Colonial Life Arena,Columbia,"19,000",0.084489,Hootie & the Blowfish,Barenaked Ladies,2019-09-11 19:30:00-04:00,30486,801 Lincoln St.,29201,Columbia,US,Columbia
410020,56,1303 NE 45th Street,Seattle,US,2020-01-29 04:00:00+00:00,Motion City Soundtrack-Don't Call It A Comeback 2020,Rock,1,47.66126297,-122.31405191,,1.0,2019-06-21 17:00:00+00:00,98105,31.0,31.0,0.0,WA,Pop,https://www.ticketmaster.com/motion-city-soundtrackdont-call-it-a-seattle-washington-01-28-2020/event/0F0056CBA0992532,Neptune Theatre,647.0,Neptune Theatre,Seattle,800,0.008476000000000001,Dave Mason,Steve Cropper,2019-09-29 20:00:00-07:00,1276526,1303 NE 45th Street,98101,Seattle,US,Seattle
64229,73,1 Mohegan Sun Blvd,Uncasville,US,2020-03-01 04:00:00+00:00,The Lumineers - III: The World Tour,Rock,1,41.4915974,-72.09145629999998,6,4.0,2019-08-16 14:00:00+00:00,06382,109.0,49.0,0.0,CT,Alternative Rock,https://www.ticketmaster.com/the-lumineers-iii-the-world-tour-uncasville-connecticut-02-29-2020/event/1D0056FDD6C53486,Mohegan Sun Arena,121.0,Mohegan Sun Arena,Uncasville,"12,000",0.131886,Foreigner,,2019-10-03 19:30:00-04:00,56485,1 Mohegan Sun Boulevard,06382,Providence,US,Uncasville
332468,15,191 Beale Street,Memphis,US,2019-09-14 00:00:00+00:00,Kevin Gates,Hip-Hop/Rap,0,35.1394709,-90.05149329999998,,2.0,2019-07-01 17:00:00+00:00,38103,107.0,39.0,0.0,TN,French Rap,https://www.ticketmaster.com/kevin-gates-memphis-tennessee-09-13-2019/event/1B0056D599E6512A,FedExForum,549.0,FedExForum,Memphis,"19,000",0.003927,JoJo Siwa,The Belles Official,2019-09-10 18:00:00-05:00,5942,191 Beale Street,38103,Memphis,US,Memphis
226276,91,125 East 11th Street,New York,US,2019-09-15 21:30:00+00:00,All That Remains,Metal,0,40.73170187,-73.98923951,,3.0,2019-07-26 16:00:00+00:00,10003,33.5,33.5,0.0,NY,Nu-Metal,https://www.ticketmaster.com/all-that-remains-new-york-new-york-09-15-2019/event/000056F3EDA28A5A,Webster Hall,429.0,Webster Hall,New York City,"1,500",0.014968,Tinariwen,,2019-09-21 18:30:00-04:00,924,125 E.11th Street,10003,New York,US,New York
186036,118,609 Congress St,Portland,US,2019-11-17 01:00:00+00:00,Childsplay,Other,0,43.6539716,-70.26329240000001,6,2.0,2019-06-28 14:00:00+00:00,04101,40.0,30.0,0.0,ME,Other,https://www.ticketmaster.com/childsplay-portland-maine-11-16-2019/event/010056CDF7DAB9E5,State Theatre,289.0,State Theatre,Portland,"1,870",0.127948,X Ambassadors,Bear Hands,2019-11-01 19:30:00-04:00,51216,609 Congress St,04101,Portland,US,Portland
186212,118,609 Congress St,Portland,US,2019-11-17 01:00:00+00:00,Childsplay,Other,0,43.6539716,-70.26329240000001,6,2.0,2019-06-28 14:00:00+00:00,04101,40.0,30.0,0.0,ME,Other,https://www.ticketmaster.com/childsplay-portland-maine-11-16-2019/event/010056CDF7DAB9E5,State Theatre,337.0,State Theatre,Minneapolis,"2,181",0.127948,X Ambassadors,Bear Hands,2019-11-01 19:30:00-04:00,51216,609 Congress St,04101,Portland,US,Portland
199050,30,2301 Boardwalk,Atlantic City,US,2019-11-30 00:30:00+00:00,Jonas Brothers: Happiness Begins Tour,Rock,1,39.354905,-74.43839100000002,,2.0,2019-05-18 14:00:00+00:00,08401,499.95,49.95,0.0,NJ,Pop,https://www.ticketmaster.com/jonas-brothers-happiness-begins-tour-atlantic-city-new-jersey-11-29-2019/event/020056AA3C1EEC67,Boardwalk Hall,405.0,Boardwalk Hall,Atlantic City,"14,770",0.15529400000000002,Jonas Brothers,Bebe Rexha,2019-11-29 19:30:00-05:00,720,2301 Boardwalk,08401,Philadelphia,US,Atlantic City
230715,58,500 South McDowell Street,Raleigh,US,2019-10-09 01:00:00+00:00,Sara Bareilles: Amidst The Chaos Tour 2019,Rock,1,35.77348389999999,-78.6428618,,2.0,2019-04-12 14:00:00+00:00,27601,103.0,35.0,0.0,NC,Pop,https://www.ticketmaster.com/sara-bareilles-amidst-the-chaos-tour-raleigh-north-carolina-10-08-2019/event/2D005684945B24CE,Red Hat Amphitheater,469.0,Red Hat Amphitheater,Raleigh,"5,500 ",0.130142,The Head and the Heart,The Moondoggies,2019-10-01 20:00:00-04:00,959586,500 S. McDowell St.,27601,Raleigh,US,Raleigh
