,datetime_local,is_ga,id,popularity_sg,short_title,tm_date,tm_event,listing_count,average_price,median_price,lowest_price,headliner,is_ga,event_name,price_min,price_max,max_tickets,venue_name,postalCode,city,state,country,address,longitude,latitude,num_markets,genre,subgenre,event_date,is_presale,days_event,day_of_week,date
37,2019-11-16T19:30:00,False,5013834,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
38,2019-11-23T19:30:00,False,5013833,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
39,2019-11-30T19:30:00,False,5013831,0.0,Heart of Kentucky,2019-10-11 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-11 23:30:00+00:00,0,37.0,4.0,2019-10-11 23:30:00+00:00
40,2019-10-05T19:30:00,False,4983118,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,9.0,36.0,35.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
41,2019-10-12T19:30:00,False,4983120,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,27.0,42.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
42,2019-10-19T19:30:00,False,4983124,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,30.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
43,2019-10-26T19:30:00,False,4983123,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,31.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
44,2019-11-02T19:30:00,False,5013835,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
45,2019-11-09T19:30:00,False,5013830,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
46,2019-11-16T19:30:00,False,5013834,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
47,2019-11-23T19:30:00,False,5013833,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
48,2019-11-30T19:30:00,False,5013831,0.0,Heart of Kentucky,2019-10-18 23:30:00+00:00,Heart of Kentucky,4.0,25.0,25.0,25.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-10-18 23:30:00+00:00,0,44.0,4.0,2019-10-18 23:30:00+00:00
49,2019-10-05T19:30:00,False,4983118,0.0,Heart of Kentucky,2019-11-01 23:30:00+00:00,Heart of Kentucky,9.0,36.0,35.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-11-01 23:30:00+00:00,0,42.0,4.0,2019-11-01 23:30:00+00:00
50,2019-10-12T19:30:00,False,4983120,0.0,Heart of Kentucky,2019-11-01 23:30:00+00:00,Heart of Kentucky,27.0,42.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-11-01 23:30:00+00:00,0,42.0,4.0,2019-11-01 23:30:00+00:00
51,2019-10-19T19:30:00,False,4983124,0.0,Heart of Kentucky,2019-11-01 23:30:00+00:00,Heart of Kentucky,30.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-11-01 23:30:00+00:00,0,42.0,4.0,2019-11-01 23:30:00+00:00
52,2019-10-26T19:30:00,False,4983123,0.0,Heart of Kentucky,2019-11-01 23:30:00+00:00,Heart of Kentucky,31.0,43.0,45.0,31.0,Heart of Kentucky,0.0,Heart of Kentucky,12.5,20.0,10,Green River Live,42743,Summersville,KY,US,227 William E Lobb Drive,-85.55072,37.3254,1.0,Country,Country,2019-11-01 23:30:00+00:00,0,42.0,4.0,2019-11-01 23:30:00+00:00
