,is_ga,popularity_sg,short_title,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id,headliner
10848,0.0,0.535,ZZ Top with Cheap Trick,116.0,195.0,144.0,79.0,BMO Harris Pavilion,0,200 North Habor Drive,Milwaukee,WI,53202,8620,Cheap Trick
10849,0.0,0.529,Adam Ant,6.0,131.0,100.0,93.0,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,Adam Ant
10850,1.0,0.0,Driftmore,,,,,2076 Airport Rd,0,,Platteville,WI,53818,477720,Driftmore
10851,0.0,0.534,Elvis Explosion,18.0,90.0,92.0,64.0,La Crosse Center,0,300 Harborview Plaza,La Crosse,WI,54601,900,Elvis Explosion
10852,0.0,0.0,The Get Down,,,,,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,The Get Down
10853,0.0,0.479,Dessa with Monakr,7.0,118.0,100.0,42.0,Majestic Theatre,0,115 King Street,Madison,WI,53703,3515,Dessa
10854,0.0,0.531,Elvis Explosion,56.0,89.0,85.0,56.0,La Crosse Center,0,300 Harborview Plaza,La Crosse,WI,54601,900,Elvis Explosion
10855,1.0,0.0,Titus Andronicus,5.0,73.0,64.0,60.0,X-Ray Arcade,0,5036 S Packard Ave,Cudahy,WI,53110,466549,Titus Andronicus
10856,0.0,0.528,Elvis Explosion,35.0,86.0,85.0,56.0,La Crosse Center,0,300 Harborview Plaza,La Crosse,WI,54601,900,Elvis Explosion
10857,0.0,0.5,Air Supply,16.0,184.0,162.0,147.0,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,Air Supply
10858,0.0,0.564,Reignwolf,,,,,Eagles Ballroom,0,2401 West Wisconsin Avenue,Milwaukee,WI,53233,542,Reignwolf
10859,1.0,0.513,Stephane Wrembel ( Event) (21+),3.0,61.0,54.0,53.0,Shank Hall,0,1434 N. Farwell Ave.,Milwaukee,WI,53202,668,Stephane Wrembel
10860,0.0,0.0,Jungle Rot,,,,,Route 20 Outhouse,0,14001 Washington Ave,Sturtevant,WI,53177,35932,Jungle Rot
10861,0.0,0.0,Holly Bowling,,,,,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Holly Bowling
10862,1.0,0.0,Phutureprimitive,,,,,Miramar Theatre,0,2844 N Oakland Ave,Milwaukee,WI,53211,1547,Phutureprimitive
10863,0.0,0.542,Elvis Explosion,17.0,90.0,92.0,64.0,La Crosse Center,0,300 Harborview Plaza,La Crosse,WI,54601,900,Elvis Explosion
10864,0.0,0.683,The Who with Dead Horses,447.0,259.0,124.0,15.0,Alpine Valley Music Theatre,0,2699 Highway D,Elkhorn,WI,53121,57,The Who
10865,0.0,0.559,Rob Thomas with Max Frost,32.0,159.0,152.0,127.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,Rob Thomas
10866,1.0,0.0,Titus Andronicus (18+),1.0,67.0,67.0,67.0,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Titus Andronicus
10867,0.0,0.0,Free Throw,,,,,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Free Throw
10868,0.0,0.529,Tash Sultana,17.0,469.0,92.0,79.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,Tash Sultana
10869,1.0,0.0,Russian Circles (18+),1.0,117.0,117.0,117.0,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Russian Circles
10870,0.0,0.0,Backstreet Boys,69.0,438.0,291.0,235.0,Fiserv Forum,0,901 Vel R. Phillips Ave,Milwaukee,WI,53203,435592,Backstreet Boys
10871,1.0,0.0,Teenage Bottlerocket,,,,,Lyric Room,0,231 North Broadway,Green Bay,WI,54303,59043,Teenage Bottlerocket
10872,1.0,0.0,Morgan Heritage,1.0,78.0,78.0,78.0,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Morgan Heritage
10873,1.0,0.465,Alice Peacock (21+),3.0,56.0,54.0,53.0,Shank Hall,0,1434 N. Farwell Ave.,Milwaukee,WI,53202,668,Alice Peacock
10874,0.0,0.501,Keb' Mo',11.0,169.0,173.0,141.0,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,Keb' Mo'
10875,1.0,0.416,Pinegrove,17.0,146.0,88.0,54.0,Majestic Theatre,0,115 King Street,Madison,WI,53703,3515,Pinegrove
10876,0.0,0.551,Al Di Meola (21+),10.0,122.0,67.0,63.0,Potawatomi Casino-Northern Lights Theatre,0,1721 West Canal Street,Milwaukee,WI,53233,978,Al Di Meola
10877,0.0,0.0,Live Music Event,,,,,Vogel Hall at Marcus Center,0,929 N Water Street,Milwaukee,WI,53202,4389,Live Music Event
10878,0.0,0.654,Eric Church,70.0,289.0,292.0,165.0,Resch Center,0,1901 South Oneida St.,Green Bay,WI,54304,1319,Eric Church
10879,0.0,0.0,Lorrie Morgan,1.0,70.0,70.0,70.0,The Gobbler Theater,0,350 N Watertown St,Johnson Creek,WI,53038,306011,Lorrie Morgan
10880,0.0,0.0,Emo Nite Milwaukee,,,,,Miramar Theatre,0,2844 N Oakland Ave,Milwaukee,WI,53211,1547,Emo Nite
10881,1.0,0.0,Iron Chic,,,,,Lyric Room,0,231 North Broadway,Green Bay,WI,54303,59043,Iron Chic
10882,0.0,0.447,Charley Pride,26.0,132.0,126.0,104.0,Crystal Grand Music Theatre,0,430 W Munroe Ave,Wisconsin Dells,WI,53965,1831,Charley Pride
10883,0.0,0.0,The Four Tops,2.0,69.0,61.0,61.0,Ho-Chunk Gaming-WI-Dells,0,S3214 Hwy 12,Baraboo,WI,53913,9437,The Four Tops
10884,0.0,0.516,Dave Hill,,,,,Potawatomi Casino-Northern Lights Theatre,0,1721 West Canal Street,Milwaukee,WI,53233,978,Dave Hill
10885,0.0,0.585,Vince Gill,51.0,144.0,146.0,79.0,Riverside Theatre,0,116 West Wisconsin Avenue,Milwaukee,WI,53203,623,Vince Gill
10886,0.0,0.0,Tycho with Poolside,41.0,93.0,90.0,64.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,Tycho
10887,0.0,0.56,Violent Femmes,23.0,92.0,84.0,71.0,Meyer Theatre,0,117 South Washington Street,Green Bay,WI,54301,3156,Violent Femmes
10888,0.0,0.66,Eric Church,57.0,332.0,323.0,202.0,Resch Center,0,1901 South Oneida St.,Green Bay,WI,54304,1319,Eric Church
10889,1.0,0.451,The Wigs with The Whigs (21+),6.0,72.0,40.0,40.0,Shank Hall,0,1434 N. Farwell Ave.,Milwaukee,WI,53202,668,The Whigs
10890,1.0,0.0,Stephen Kellogg,2.0,55.0,55.0,55.0,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Stephen Kellogg
10891,0.0,0.518,Dave Hill,,,,,Potawatomi Casino-Northern Lights Theatre,0,1721 West Canal Street,Milwaukee,WI,53233,978,Dave Hill
10892,0.0,0.443,STRFKR,10.0,123.0,81.0,49.0,Majestic Theatre,0,115 King Street,Madison,WI,53703,3515,STRFKR
10893,0.0,0.0,The Head and the Heart with The Moondoggies,7.0,142.0,104.0,101.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,The Moondoggies
10894,0.0,0.0,The Head and the Heart with The Moondoggies,33.0,101.0,103.0,72.0,The Sylvee,0,25 S. Livingston Street,Madison,WI,53703,448545,The Moondoggies
10895,0.0,0.0,Jonas Brothers with Bebe Rexha,660.0,285.0,236.0,86.0,Fiserv Forum,0,901 Vel R. Phillips Ave,Milwaukee,WI,53203,435592,Jonas Brothers
10896,1.0,0.0,Susto,,,,,Colectivo Coffee,0,221 N Prospect Ave,Milwaukee,WI,53202,110195,Susto
10897,1.0,0.0,Citizens with Ghost Ship,,,,,Miramar Theatre,0,2844 N Oakland Ave,Milwaukee,WI,53211,1547,Citizens
10898,0.0,0.0,Sebastian Bach,11.0,187.0,131.0,90.0,1175 Sports Park & Eatery,0,22840 Durand Avenue,Kansasville,WI,53139,433289,Sebastian Bach
10899,0.0,0.0,Generationals (18+),1.0,64.0,64.0,64.0,High Noon Saloon,0,701 E. Washington Ave,Madison,WI,53703,4836,Generationals
10900,0.0,0.484,Marc Martel,,,,,Pabst Theater,0,144 E Wells St,Milwaukee,WI,53202,550,Marc Martel
10901,0.0,0.0,Twin Peaks,15.0,153.0,109.0,52.0,Milwaukee Turner Hall Ballroom,0,1034 North 4th Street,Milwaukee,WI,53203,76028,Twin Peaks
10902,0.0,0.6,Godsmack with Halestorm,185.0,140.0,105.0,69.0,Resch Center,0,1901 South Oneida St.,Green Bay,WI,54304,1319,Godsmack
10903,0.0,0.0,Steve Augeri,2.0,74.0,71.0,71.0,Ho-Chunk Gaming Black River Falls,0,W9010 Wisconsin 54,Black River Falls,WI,54615,53522,Steve Augeri
