,venue_name,id,capacity,street,zip,latitude,longitude,metro_area,country,city_name
12177,"Kolf Sports Center, University of Wisconsin, Oshkosh",668936,,,,,,Milwaukee,US,Oshkosh
12178,Central Wisconsin Center,2461579,,317 Knutson Drive,53704,43.1416662,-89.3946592,Madison,US,Madison
12179,Time of Grace Center Wisconsin Lutheran College,4239659,,8725 W. Wisconsin Ave,53226,43.03774,-88.02171,Milwaukee,US,Milwaukee
12180,"Rothwell Student Center, University of Wisconsin, Superior",362116,,,,,,Twin Cities,US,Superior
12181,Kalahari Resort & Convention Center,221493,,,,,,Wisconsin Dells,US,Wisconsin Dells
12182,Dells Center,988936,,2100 River Road,53965,43.6368251,-89.7690958,Wisconsin Dells,US,Wisconsin Dells
12183,CAL Center,962181,,1100 S. Albert Ave.,53959,43.5214266,-90.0210202,Wisconsin Dells,US,Reedsburg
12184,DanceArt Center - Mauston,2188364,,"234 W. State St., 2nd Fl.",53948,43.7971946,-90.0773495,Wisconsin Dells,US,Mauston
12185,UW-Milwaukee Panther Arena,805,12700.0,400 W. Kilbourn Ave.,53203,43.04215,-87.91701,Milwaukee,US,Milwaukee
12186,Wintergreen Resort & Convention Center,2122374,,60 N. Gasser Rd.,53940,43.5756208,-89.7805893,Wisconsin Dells,US,Lake Delton
12187,FedEx Forum,5942,,191 Beale Street,38103,35.1395093,-90.0517042,Memphis,US,Memphis
12188,Fillmore Auditorium,1009,3600,1510 Clarkson St.,80218,39.74058,-104.97699,Denver,US,Denver
12189,The Triple Door,5368,,216 Union Street,98101,47.6086673,-122.3373085,Seattle,US,Seattle
12190,"Musicquarium Lounge, The Triple Door",598881,,216 Union St.,98101,47.6086673,-122.3373085,Seattle,US,Seattle
12191,Chase Center,4223659,,500 Terry A Francois Boulevard,94158,37.77037,-122.38712,SF Bay Area,US,San Francisco
12192,Chase Center,1875018,,815 JUSTISON ST,19801,39.7309984,-75.5631641,Wilmington,US,Wilmington
12193,"Chase Room, New Jersey Performing Arts Center",820041,,,,,,Newark,US,Newark
12194,Chase Center on the Riverfront,3645679,,815 Justison Street,19801,39.73109,-75.56305,Wilmington,US,Wilmington
12195,Bethesda Chevy Chase Regional Services Center,1828443,,,20814,39.0038878,-77.1053673,Washington,US,Bethesda
12196,Chevy Chase Community Center,127089,,,,,,Indiana,US,Indiana
12197,Chevy Chase Community Center,2404619,,5601 Connecticut Ave. NW,20015,38.9649177,-77.0753883,Washington,US,Washington
12198,Friendship Heights Village Center,607321,,4433 South Park Avenue,20815,38.963625,-77.088865,Washington,US,Chevy Chase
12199,National 4-h Conference Center,1468963,,7100 Connecticut Ave,20815,38.9810853,-77.0786975,Washington,US,Chevy Chase
12200,Riviera Theatre,345391,514.0,50 N. Main St.,49093,41.94524,-85.63418,Three Rivers,US,Three Rivers
