,address,city,country,event_date,event_name,genre,is_presale,latitude_left,longitude_left,max_tickets,num_markets,onsale_date,postalCode,price_max,price_min,sold_out,state,subgenre,url,venue_name_left,popularity,headliner,support,event_time,id_y,capacity,street,zip,metro_area
2703,3770 S. Las Vegas Blvd,Las Vegas,US,2019-09-01 02:30:00+00:00,Cher: Las Vegas Residency,Rock,1,36.105126,-115.175233,,1.0,2019-03-08 18:00:00+00:00,89109,362.39,75.0,0.0,NV,Pop,https://www.ticketmaster.com/cher-las-vegas-residency-las-vegas-nevada-08-31-2019/event/2E00565BEB89240A,Park Theater,0.089003,Cher,,2019-08-21 20:00:00-07:00,3410514,,3770 Las Vegas Blvd S,89109,Las Vegas
2704,3555 Las Vegas Blvd,Las Vegas,US,2019-11-17 03:30:00+00:00,Donny and Marie Osmond (Las Vegas),Rock,1,36.11632233,-115.17228685,,1.0,2018-09-03 17:00:00+00:00,89109,125.0,95.0,0.0,NV,Pop,https://www.ticketmaster.com/donny-and-marie-osmond-las-vegas-las-vegas-nevada-11-16-2019/event/3900551CDF1B41C0,Donny & Marie Showroom at Flamingo Las Vegas,0.011552,Donny & Marie Osmond,Donny Osmond,2019-08-20 19:30:00-07:00,2456089,,3555 Las Vegas Blvd,89109,Las Vegas
2705,3770 S. Las Vegas Blvd,Las Vegas,US,2019-08-29 02:30:00+00:00,Cher: Las Vegas Residency,Rock,1,36.105126,-115.175233,,1.0,2019-03-08 18:00:00+00:00,89109,375.0,55.05,0.0,NV,Pop,https://www.ticketmaster.com/cher-las-vegas-residency-las-vegas-nevada-08-28-2019/event/2E00565BEB842403,Park Theater,0.089003,Cher,,2019-08-21 20:00:00-07:00,3410514,,3770 Las Vegas Blvd S,89109,Las Vegas
2706,"200 Third Street, Across from the D Las Vegas",Las Vegas,US,2019-09-08 01:00:00+00:00,Lost 80's Live - Sweet 16th Anniversary,Rock,1,36.169428,-115.143,,1.0,2019-02-15 18:00:00+00:00,89101,60.09,23.4,0.0,NV,Pop,https://www.ticketmaster.com/lost-80s-live-sweet-16th-anniversary-las-vegas-nevada-09-07-2019/event/17005647B1E2A2C3,Downtown Las Vegas Events Center,7.6e-05,The HU (band),,,4339352,,200 S 3rd Street,89101,Las Vegas
2707,4321 West Flamingo Road,Las Vegas,US,2019-10-10 04:00:00+00:00,Billy Idol: Las Vegas 2019 presented by SiriusXM,Rock,1,36.115378,-115.19534099999998,,1.0,2018-09-21 17:00:00+00:00,89103,137.57,32.06,0.0,NV,Pop,https://www.ticketmaster.com/billy-idol-las-vegas-2019-presented-las-vegas-nevada-10-09-2019/event/1700552B803212F1,Pearl Concert Theater at Palms Casino Resort,0.11455499999999999,Billy Idol,,2019-10-04 21:00:00-07:00,851361,,4321 W. Flamingo Rd.,89103,Las Vegas
2708,3667 S Las Vegas Blvd,Las Vegas,US,2019-09-28 04:00:00+00:00,Christina Aguilera - The Xperience,Pop,1,36.10961689,-115.17247058,,1.0,2019-02-02 18:00:00+00:00,89109,275.0,40.0,0.0,NV,Pop,https://www.ticketmaster.com/christina-aguilera-the-xperience-las-vegas-nevada-09-27-2019/event/390056370DB3C9E6,Zappos Theater at Planet Hollywood,0.30028499999999997,Christina Aguilera,,2019-09-20 21:00:00-07:00,3815719,4600.0,3667 S. Las Vegas Blvd.,89109,Las Vegas
2709,3570 S Las Vegas Blvd,Las Vegas,US,2019-12-01 04:00:00+00:00,Mariah Carey - All I Want For Christmas Is You,Pop,1,36.116156,-115.175058,,1.0,2019-05-10 17:00:00+00:00,89109,299.0,79.0,0.0,NV,Pop,https://www.ticketmaster.com/mariah-carey-all-i-want-for-las-vegas-nevada-11-30-2019/event/3900569A258ACF36,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2710,3355 S Las Vegas Blvd ,Las Vegas,US,2020-01-25 03:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-01-24-2020/event/170056FDDDB45252,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2711,3708 Las Vegas Boulevard South ,Las Vegas,US,2019-10-12 04:00:00+00:00,The Neighbourhood,Rock,1,36.10907659,-115.17318003,,1.0,2019-05-03 17:00:00+00:00,89109,70.0,30.0,0.0,NV,Pop,https://www.ticketmaster.com/the-neighbourhood-las-vegas-nevada-10-11-2019/event/1700567CB71869F1,The Cosmopolitan of Las Vegas,0.217099,The Neighbourhood,,2019-10-11 20:00:00-07:00,1192011,,3700 S.Las Vegas Blvd.,89109,Las Vegas
2712,4321 West Flamingo Road,Las Vegas,US,2019-10-12 04:00:00+00:00,Billy Idol: Las Vegas 2019 presented by SiriusXM,Rock,1,36.115378,-115.19534099999998,,1.0,2018-09-21 17:00:00+00:00,89103,137.57,32.06,0.0,NV,Pop,https://www.ticketmaster.com/billy-idol-las-vegas-2019-presented-las-vegas-nevada-10-11-2019/event/1700552B803812F5,Pearl Concert Theater at Palms Casino Resort,0.11455499999999999,Billy Idol,,2019-10-04 21:00:00-07:00,851361,,4321 W. Flamingo Rd.,89103,Las Vegas
2713,3570 S Las Vegas Blvd,Las Vegas,US,2019-11-28 04:00:00+00:00,Mariah Carey - All I Want For Christmas Is You,Pop,1,36.116156,-115.175058,,1.0,2019-05-10 17:00:00+00:00,89109,279.0,55.0,0.0,NV,Pop,https://www.ticketmaster.com/mariah-carey-all-i-want-for-las-vegas-nevada-11-27-2019/event/3900569A2583CF32,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2714,3355 S Las Vegas Blvd ,Las Vegas,US,2020-01-26 03:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-01-25-2020/event/170056FDDDB75263,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2715,3555 Las Vegas Blvd,Las Vegas,US,2019-08-21 02:30:00+00:00,Donny and Marie Osmond (Las Vegas),Rock,1,36.11632233,-115.17228685,,1.0,2018-09-03 17:00:00+00:00,89109,260.0,95.0,0.0,NV,Pop,https://www.ticketmaster.com/donny-and-marie-osmond-las-vegas-las-vegas-nevada-08-20-2019/event/3900551CDEA8416B,Donny & Marie Showroom at Flamingo Las Vegas,0.011552,Donny & Marie Osmond,Donny Osmond,2019-08-20 19:30:00-07:00,2456089,,3555 Las Vegas Blvd,89109,Las Vegas
2716,3570 S Las Vegas Blvd,Las Vegas,US,2020-02-15 04:00:00+00:00,Mariah Carey - The Butterfly Returns,Pop,1,36.116156,-115.175058,,1.0,2019-05-10 17:00:00+00:00,89109,299.0,79.0,0.0,NV,Pop,https://www.ticketmaster.com/mariah-carey-the-butterfly-returns-las-vegas-nevada-02-14-2020/event/3900569A2EEACF89,The Colosseum at Caesars Palace,0.326286,Mariah Carey,,2019-11-22 20:00:00-08:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2717,2500 East Second Street,Reno,US,2019-12-07 04:00:00+00:00,So You Think You Can Dance Live! 2019,Rock,1,39.52331,-119.781017,,1.0,2019-07-26 17:00:00+00:00,89595,115.0,39.5,0.0,NV,Pop,https://www.ticketmaster.com/so-you-think-you-can-dance-reno-nevada-12-06-2019/event/170056EBE1354C44,Grand Sierra Resort and Casino,0.073887,Live,Our Lady Peace,,37989,2500.0,2500 E. Second St,89595,Reno
2718,3355 S Las Vegas Blvd ,Las Vegas,US,2020-01-30 03:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-01-29-2020/event/170056FDDDBA5266,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2719,3355 S Las Vegas Blvd ,Las Vegas,US,2020-02-02 03:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-02-01-2020/event/170056FDDDC0526C,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2720,3555 Las Vegas Blvd,Las Vegas,US,2019-08-14 03:00:00+00:00,Paula Abdul: Forever Your Girl,Rock,1,36.11632233,-115.17228685,,1.0,2019-05-04 17:00:00+00:00,89109,129.0,69.0,0.0,NV,Pop,https://www.ticketmaster.com/paula-abdul-forever-your-girl-las-vegas-nevada-08-13-2019/event/3900569DC614310F,Donny & Marie Showroom at Flamingo Las Vegas,0.024934,Paula Abdul,,2019-08-13 20:00:00-07:00,2456089,,3555 Las Vegas Blvd,89109,Las Vegas
2721,3570 S Las Vegas Blvd,Las Vegas,US,2019-10-06 02:30:00+00:00,Rod Stewart: The Hits.,Rock,1,36.116156,-115.175058,,1.0,2019-03-15 19:00:00+00:00,89109,234.36,49.95,0.0,NV,Pop,https://www.ticketmaster.com/rod-stewart-the-hits-las-vegas-nevada-10-05-2019/event/39005667EF3D609D,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2722,2500 East Second Street,Reno,US,2019-08-15 02:00:00+00:00,Young The Giant / Fitz And The Tantrums,Rock,1,39.52331,-119.781017,,1.0,2019-02-22 18:00:00+00:00,89595,47.0,37.0,0.0,NV,Pop,https://www.ticketmaster.com/young-the-giant-fitz-and-the-reno-nevada-08-14-2019/event/1700564FE488A463,Grand Sierra Resort and Casino,0.174951,Young the Giant,Fitz & The Tantrums,2019-08-14 19:00:00-07:00,13420,,2500 E. Second St.,89595,Reno
2723,3355 S Las Vegas Blvd ,Las Vegas,US,2020-02-01 03:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-01-31-2020/event/170056FDDDBD5268,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2724,3570 S Las Vegas Blvd,Las Vegas,US,2020-02-01 04:00:00+00:00,Van Morrison,Rock,1,36.116156,-115.175058,,1.0,2019-07-26 17:00:00+00:00,89109,329.0,70.0,0.0,NV,Pop,https://www.ticketmaster.com/van-morrison-las-vegas-nevada-01-31-2020/event/390056F181520E53,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2725,3355 S Las Vegas Blvd ,Las Vegas,US,2020-04-19 02:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-04-18-2020/event/170056FDDDC75275,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2726,3355 S Las Vegas Blvd ,Las Vegas,US,2020-04-26 02:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-04-25-2020/event/170056FDDDD05281,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2727,3355 S Las Vegas Blvd ,Las Vegas,US,2020-04-18 02:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-04-17-2020/event/170056FDDDC3526F,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2728,3355 S Las Vegas Blvd ,Las Vegas,US,2020-04-23 02:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-04-22-2020/event/170056FDDDCA5279,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2729,3355 S Las Vegas Blvd ,Las Vegas,US,2020-04-25 02:00:00+00:00,Foreigner,Rock,1,36.12139406,-115.16923919,,1.0,2019-08-09 17:00:00+00:00,89109,256.83,45.83,0.0,NV,Pop,https://www.ticketmaster.com/foreigner-las-vegas-nevada-04-24-2020/event/170056FDDDCD527C,Venetian Theatre at the Venetian Las Vegas,0.13203099999999998,Foreigner,,2020-01-24 20:00:00-08:00,2861503,,3355 Las Vegas Blvd South,89109,Las Vegas
2730,3570 S Las Vegas Blvd,Las Vegas,US,2019-09-22 02:30:00+00:00,Rod Stewart: The Hits.,Rock,1,36.116156,-115.175058,,1.0,2019-03-15 19:00:00+00:00,89109,234.36,49.95,0.0,NV,Pop,https://www.ticketmaster.com/rod-stewart-the-hits-las-vegas-nevada-09-21-2019/event/39005667EF2D6090,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2731,3570 S Las Vegas Blvd,Las Vegas,US,2019-09-21 02:30:00+00:00,Rod Stewart: The Hits.,Rock,1,36.116156,-115.175058,,1.0,2019-03-15 19:00:00+00:00,89109,234.36,49.95,0.0,NV,Pop,https://www.ticketmaster.com/rod-stewart-the-hits-las-vegas-nevada-09-20-2019/event/39005667EF2A608A,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2732,3570 S Las Vegas Blvd,Las Vegas,US,2020-03-01 04:00:00+00:00,Mariah Carey - The Butterfly Returns,Pop,1,36.116156,-115.175058,,1.0,2019-05-10 17:00:00+00:00,89109,299.0,79.0,0.0,NV,Pop,https://www.ticketmaster.com/mariah-carey-the-butterfly-returns-las-vegas-nevada-02-29-2020/event/3900569A2F01CF97,The Colosseum at Caesars Palace,0.326286,Mariah Carey,,2019-11-22 20:00:00-08:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
2733,3570 S Las Vegas Blvd,Las Vegas,US,2020-02-02 04:00:00+00:00,Van Morrison,Rock,1,36.116156,-115.175058,,1.0,2019-07-26 17:00:00+00:00,89109,329.0,70.0,0.0,NV,Pop,https://www.ticketmaster.com/van-morrison-las-vegas-nevada-02-01-2020/event/390056F181700E7A,The Colosseum at Caesars Palace,0.19611099999999998,Rod Stewart,,2019-09-18 19:30:00-07:00,34217,4100.0,3570 South Las Vegas Blvd.,89109,Las Vegas
