,id,popularity_sk,type,venue_id,headliner,support,event_time
23018,38913774,0.000646,Concert,12,Dreamstate,,2019-11-22 17:00:00-08:00
23019,36878144,0.067656,Concert,523016,Chris Stapleton,The Marcus King Band,2019-08-22 19:00:00-05:00
23020,34902664,0.216022,Concert,523016,Carrie Underwood,Maddie and Tae,2019-09-18 19:00:00-05:00
23021,38887948,0.090888,Concert,523016,Godsmack,Halestorm,2019-09-25 20:00:00-05:00
23022,38897689,0.390898,Concert,523016,Guns N' Roses,,2019-10-07 19:30:00-05:00
23023,37918319,0.138536,Concert,523016,Miranda Lambert,Elle King,2019-10-26 19:00:00-05:00
23024,37131689,0.335149,Concert,523016,The Chainsmokers,5 Seconds of Summer,2019-11-16 19:00:00-06:00
23025,38313869,0.104393,Concert,523016,George Strait,Asleep At the Wheel,
23026,38740764,0.005629,Concert,3473424,Wayne Newton,,2019-09-02 20:00:00-07:00
23027,38739189,0.005629,Concert,3473424,Wayne Newton,,2019-09-03 20:00:00-07:00
23028,38740654,0.005629,Concert,3473424,Wayne Newton,,2019-09-04 20:00:00-07:00
23029,38960858,0.036138,Concert,3473424,Dionne Warwick,,2019-09-05 20:00:00-07:00
23030,38961060,0.036138,Concert,3473424,Dionne Warwick,,2019-09-07 20:00:00-07:00
23031,38961093,0.036138,Concert,3473424,Dionne Warwick,,2019-09-08 20:00:00-07:00
23032,38740644,0.005629,Concert,3473424,Wayne Newton,,2019-09-09 20:00:00-07:00
23033,38738719,0.005629,Concert,3473424,Wayne Newton,,2019-09-10 20:00:00-07:00
23034,38739544,0.005629,Concert,3473424,Wayne Newton,,2019-09-11 20:00:00-07:00
23035,38960938,0.036138,Concert,3473424,Dionne Warwick,,2019-09-12 20:00:00-07:00
23036,38960822,0.036138,Concert,3473424,Dionne Warwick,,2019-09-13 20:00:00-07:00
23037,38961098,0.036138,Concert,3473424,Dionne Warwick,,2019-09-14 20:00:00-07:00
23038,38961057,0.036138,Concert,3473424,Dionne Warwick,,2019-09-15 20:00:00-07:00
23039,38739864,0.005629,Concert,3473424,Wayne Newton,,2019-09-16 20:00:00-07:00
23040,38739624,0.005629,Concert,3473424,Wayne Newton,,2019-09-17 20:00:00-07:00
23041,38741209,0.005629,Concert,3473424,Wayne Newton,,2019-09-18 20:00:00-07:00
23042,38738869,0.005629,Concert,3473424,Wayne Newton,,2019-09-24 20:00:00-07:00
23043,38739649,0.005629,Concert,3473424,Wayne Newton,,2019-09-25 20:00:00-07:00
23044,38739109,0.005629,Concert,3473424,Wayne Newton,,2019-09-30 20:00:00-07:00
23045,38739849,0.005629,Concert,3473424,Wayne Newton,,2019-10-01 20:00:00-07:00
23046,38740004,0.005629,Concert,3473424,Wayne Newton,,2019-10-02 20:00:00-07:00
23047,38739674,0.005629,Concert,3473424,Wayne Newton,,2019-10-07 20:00:00-07:00
23048,38740309,0.005629,Concert,3473424,Wayne Newton,,2019-10-08 20:00:00-07:00
23049,38739154,0.005629,Concert,3473424,Wayne Newton,,2019-10-09 20:00:00-07:00
23050,38960872,0.036138,Concert,3473424,Dionne Warwick,,2019-10-10 20:00:00-07:00
23051,38960958,0.036138,Concert,3473424,Dionne Warwick,,2019-10-11 20:00:00-07:00
23052,38960981,0.036138,Concert,3473424,Dionne Warwick,,2019-10-12 20:00:00-07:00
23053,38961014,0.036138,Concert,3473424,Dionne Warwick,,2019-10-13 20:00:00-07:00
23054,38738654,0.005629,Concert,3473424,Wayne Newton,,2019-10-14 20:00:00-07:00
23055,38740014,0.005629,Concert,3473424,Wayne Newton,,2019-10-15 20:00:00-07:00
23056,38739274,0.005629,Concert,3473424,Wayne Newton,,2019-10-16 20:00:00-07:00
23057,38960952,0.036138,Concert,3473424,Dionne Warwick,,2019-10-17 20:00:00-07:00
23058,38960847,0.036138,Concert,3473424,Dionne Warwick,,2019-10-18 20:00:00-07:00
23059,38961004,0.036138,Concert,3473424,Dionne Warwick,,2019-10-19 20:00:00-07:00
23060,38961008,0.036138,Concert,3473424,Dionne Warwick,,2019-10-20 20:00:00-07:00
23061,38739049,0.005629,Concert,3473424,Wayne Newton,,2019-10-21 20:00:00-07:00
23062,38739794,0.005629,Concert,3473424,Wayne Newton,,2019-10-22 20:00:00-07:00
23063,38739119,0.005629,Concert,3473424,Wayne Newton,,2019-10-23 20:00:00-07:00
23064,38960967,0.036138,Concert,3473424,Dionne Warwick,,2019-10-24 20:00:00-07:00
23065,38961009,0.036138,Concert,3473424,Dionne Warwick,,2019-10-25 20:00:00-07:00
23066,38961112,0.036138,Concert,3473424,Dionne Warwick,,2019-10-26 20:00:00-07:00
23067,38961032,0.036138,Concert,3473424,Dionne Warwick,,2019-10-27 20:00:00-07:00
23068,38738664,0.005629,Concert,3473424,Wayne Newton,,2019-10-28 20:00:00-07:00
23069,38739884,0.005629,Concert,3473424,Wayne Newton,,2019-10-29 20:00:00-07:00
23070,38740619,0.005629,Concert,3473424,Wayne Newton,,2019-10-30 20:00:00-07:00
23071,38960975,0.036138,Concert,3473424,Dionne Warwick,,2019-10-31 20:00:00-07:00
23072,38961080,0.036138,Concert,3473424,Dionne Warwick,,2019-11-01 20:00:00-07:00
23073,38960977,0.036138,Concert,3473424,Dionne Warwick,,2019-11-02 20:00:00-07:00
23074,38960970,0.036138,Concert,3473424,Dionne Warwick,,2019-11-03 20:00:00-08:00
23075,38740829,0.005629,Concert,3473424,Wayne Newton,,2019-11-04 20:00:00-08:00
23076,38980187,0.0002,Concert,3995634,Decadon,,2019-08-17 21:00:00-07:00
23077,38957199,0.006782,Concert,3995634,Manila Killa,,2019-10-18 21:00:00-07:00
23078,38968935,0.002988,Concert,3995634,Jantsen,DMVU,2019-10-26 21:00:00-07:00
23079,38989411,0.002571,Concert,3995634,Dirt Monkey,Conrank,2019-11-16 21:00:00-07:00
23080,39031232,0.002211,Concert,3210113,Jared & The Mill,,2019-10-27 20:30:00-04:00
23081,37313294,0.084489,Concert,30486,Hootie & the Blowfish,Barenaked Ladies,2019-09-11 19:30:00-04:00
23082,36287404,0.085635,Concert,30486,Hootie & the Blowfish,Barenaked Ladies,2019-09-12 19:30:00-04:00
23083,36219789,0.085677,Concert,30486,Hootie & the Blowfish,Barenaked Ladies,2019-09-13 19:30:00-04:00
23084,38988687,0.353393,Concert,30486,Trey Songz,,2019-09-21 20:00:00-04:00
23085,34902254,0.216022,Concert,30486,Carrie Underwood,Maddie and Tae,2019-09-29 19:00:00-04:00
23086,37741384,0.042383,Concert,30486,Alabama,The Charlie Daniels Band,2019-10-03 19:00:00-04:00
23087,38406379,0.043005,Concert,30486,Crowder,MercyMe,2019-10-18 19:30:00-04:00
23088,37918359,0.138219,Concert,30486,Miranda Lambert,Maren Morris,2019-11-08 19:00:00-05:00
23089,39012383,0.190899,Concert,30486,Five Finger Death Punch,Three Days Grace,2019-11-20 18:30:00-05:00
23090,38907234,0.474684,Concert,30486,Ariana Grande,Social House,2019-12-03 19:30:00-05:00
23091,38584854,0.053856,Concert,4300789,Robert Plant,,2019-09-23 18:00:00-05:00
23092,37976349,0.0,Concert,3899179,Sis (US),,
23093,39004950,0.000143,Concert,3899179,Dirty Cello,,
23094,38278589,0.017586,Concert,14997,Snarky Puppy,,2019-09-12 20:00:00-04:00
23095,39026022,0.036006,Concert,14997,Lucinda Williams,,2019-09-24 20:00:00-04:00
23096,38018164,0.000492,Concert,14997,Whose Live Anyway,ryan stiles,2019-10-12 20:00:00-04:00
23097,38537559,0.126559,Concert,14997,Ray LaMontagne,,2019-10-15 20:00:00-04:00
23098,38537329,0.024597,Concert,14997,Sergio Mendes,Bebel Gilberto,2019-10-16 20:00:00-04:00
23099,38539629,0.010363,Concert,14997,Chris Thile,,2019-11-05 20:00:00-05:00
23100,38539654,0.000253,Concert,14997,Arturo O'Farrill,,2019-11-08 20:00:00-05:00
23101,38539684,0.000254,Concert,14997,Alexandria Harmonizers,Vocal Spectrum,2019-11-30 16:00:00-05:00
23102,38539709,0.0099,Concert,14997,Béla Fleck and the Flecktones,,2019-12-02 20:00:00-05:00
23103,38539714,0.009605,Concert,14997,Dave Koz,,2019-12-09 20:00:00-05:00
23104,38539739,0.000495,Concert,14997,Sinbad,,2019-12-13 20:00:00-05:00
23105,38539749,0.012196,Concert,14997,The Hip Hop Nutcracker,Kurtis Blow,2019-12-17 20:00:00-05:00
23106,38539789,0.0,Concert,14997,Bereishit Dance Company,,2020-02-06 20:00:00-05:00
23107,37620539,4.9e-05,Concert,14997,Drum Tao,,2020-02-07 20:00:00-05:00
23108,38539849,0.000674,Concert,14997,Bowie Symphonic,Maya Beiser,2020-02-15 20:00:00-05:00
23109,37620594,0.012184,Concert,14997,Joshua Bell,Academy of St. Martin In The Fields,2020-02-20 20:00:00-05:00
23110,38539884,0.0,Concert,14997,Wow in the World,,2020-02-29 13:00:00-05:00
23111,38539904,0.044538,Concert,14997,Gregory Porter,,2020-04-03 20:00:00-04:00
23112,38539964,0.017906,Concert,14997,Lea Salonga,,2020-04-17 20:00:00-04:00
23113,37986609,0.008336,Concert,3164724,The SteelDrivers,Ashleigh Caudill,2019-08-16 20:00:00-05:00
23114,38306429,0.011278,Concert,3164724,Drew Holcomb & the Neighbors,Birdtalker,2019-09-25 20:00:00-05:00
23115,39041531,0.019309,Concert,3164724,Scott Bradlee's Postmodern Jukebox,,2019-10-01 19:00:00-05:00
23116,38861359,0.000383,Concert,3164724,Mike Mills,Chuck Leavell,2019-10-02 20:00:00-05:00
23117,38899959,0.024971,Concert,3164724,Michael W. Smith,,2019-10-11 19:30:00-05:00
23118,38954903,0.002038,Concert,3164724,Jimmy Webb,,
23119,39009478,0.002815,Concert,3164724,Taylor Hicks,,2019-12-06 20:00:00-06:00
23120,39008903,0.002815,Concert,3164724,Taylor Hicks,,2019-12-07 20:00:00-06:00
23121,38129059,0.00973,Concert,3164724,Jim Brickman,,2019-12-21 19:30:00-06:00
23122,38130314,0.00973,Concert,3164724,Jim Brickman,,2019-12-21 14:00:00-06:00
23123,38777049,0.091622,Concert,1361,Tribal Seeds,Matisyahu,2019-09-27 18:00:00-10:00
23124,38989326,0.021952,Festival,1361,Steel Pulse,Trevor Hall,2019-09-28 18:00:00-10:00
23125,38992513,0.021952,Festival,1361,Steel Pulse,Trevor Hall,2019-09-28 18:00:00-10:00
23126,38352709,0.013239,Concert,37208,The Mavericks,,2019-08-18 20:00:00-04:00
23127,38712859,0.031512,Concert,37208,Melissa Etheridge,,2019-08-27 20:00:00-04:00
23128,39034741,0.00014,Concert,37208,The Chuck Brown Band,,2019-08-30 19:00:00-04:00
23129,38352729,0.005156,Concert,37208,Rick Wakeman,,2019-09-21 20:00:00-04:00
23130,39046713,0.036006,Concert,37208,Lucinda Williams,,2019-10-02 20:00:00-04:00
23131,37709874,0.088697,Concert,37208,Blue Öyster Cult,,2019-10-06 19:30:00-04:00
23132,38956291,1.5e-05,Concert,37208,Piff the Magic Dragon,,2019-11-23 20:00:00-05:00
23133,39032446,0.000673,Concert,4343069,Butcher Brown,,2019-09-18 20:00:00-04:00
23134,38325339,0.118721,Concert,4343069,Cat Power,,2019-09-28 20:00:00-04:00
23135,38939624,0.003734,Concert,4343069,Elvis Costello & The Imposters,,2019-10-26 20:00:00-04:00
