Venue,City,Capacity
Fillmore Auditorium,Denver,"3,700"
Oriental Theatre,Denver,707
Bellco Theatre,Denver,"5,000"
Gothic Theatre,Englewood,999
Fiddler's Green Amphitheatre,Greenwood Village,"17,000"
Budweiser Events Center,Loveland,"7,200"
Red Rocks Amphitheater,Morrison,"9,450"
Rentschler Field,East Hartford,"40,642"
Xfinity Theatre,Hartford,"30,000"
XL Center,Hartford,"19,321"
Mohegan Sun Arena,Uncasville,"12,000"
Foxwoods Resort Casino,Mashantucket,"4,000"
RFK Memorial Stadium,Washington,"45,600"
Nationals Park,Washington,"41,418"
Capital One Arena,Washington,"19,945"
D.C. Armory,Washington,"10,000"
Echostage,Washington,"4,000"
Carter Barron Amphitheatre,Washington,"4,000"
DAR Constitution Hall,Washington,"3,702"
The Anthem,Washington,"6,000"
Warner Theatre,Washington,"1,847"
National Theatre,Washington,"1,676"
Lincoln Theatre,Washington,"1,225"
9:30 Club,Washington,"1,200"
Howard Theatre,Washington,"1,000"
Black Cat,Washington,800
U Street Music Hall,Washington,500
Jacksonville Veterans Memorial Arena,Jacksonville,"15,000"
Florida Theatre,Jacksonville,"1,900"
Daily's Place,Jacksonville,"5,500"
TIAA Bank Field,Jacksonville,"69,132"
Amway Center,Orlando,"16,486"
The Beacham,Orlando,"1,250"
House of Blues,Orlando,"2,100"
Bob Carr Theater,Orlando,"2,518"
CFE Arena,Orlando,"10,072"
Dr. Phillips Center for the Performing Arts,Orlando,"2,731"
Camping World Stadium,Orlando,"60,219"
Mizner Park Amphitheater,Boca Raton,"4,200"
Hard Rock Live,Hollywood,"6,500"
Pensacola Bay Center,Pensacola,"10,500"
Ruth Eckerd Hall,Clearwater,"2,180"
Jannus Live,St. Petersburg,"2,000"
Tropicana Field,St. Petersburg,"32,000"
MidFlorida Credit Union Amphitheatre,Tampa,"20,000"
Amalie Arena,Tampa,"21,500"
Raymond James Stadium,Tampa,"75,000"
Coral Sky Amphitheatre,West Palm Beach,"19,000"
American Airlines Arena,Miami,"21,021"
The Fillmore,Miami,"2,750"
Olympia Theater,Miami,"1,567"
Klipsch Amphitheatre,Miami,"10,000"
Marlins Park,Miami,"36,744"
Hard Rock Stadium,Miami Gardens,"77,500"
BB&T Center,Sunrise,"21,371"
Revolution Live,Fort Lauderdale,"1,300"
Sanford Stadium,Athens,"92,746"
State Farm Arena,Atlanta,"21,000"
Cellairis Amphitheatre,Atlanta,"19,000"
State Bank Amphitheatre,Atlanta,"6,900"
Fox Theatre,Atlanta,"4,678"
The Tabernacle,Atlanta,"2,600"
Buckhead Theatre,Atlanta,"1,800"
Center Stage,Atlanta,"1,050"
The Masquerade,Atlanta,1000
Mercedes-Benz Stadium,Atlanta,"71,000"
SunTrust Park,Cumberland,"41,500"
Ameris Bank Amphitheatre,Alpharetta,"12,000"
James Brown Arena,Augusta,"9,167"
William B. Bell Auditorium,Augusta,"2,690"
Columbus Civic Center,Columbus,"9,109"
Infinite Energy Arena,Duluth,"13,100"
Aloha Stadium,Honolulu,"50,000"
Neal S. Blaisdell Center,Honolulu,"8,800"
Waikiki Shell,Honolulu,"8,400"
CenturyLink Arena,Boise,"6,800"
Ford Idaho Center,Boise,"13,067"
Taco Bell Arena,Boise,"13,390"
Grossinger Motors Arena,Bloomington,"8,000"
Toyota Park,Bridgeview,"28,010"
State Farm Center,Champaign,"17,200"
Ravinia Pavilion,Highland Park,"3,400"
Aragon Ballroom,Chicago,"4,500"
Arie Crown Theater,Chicago,"4,249"
Auditorium Theatre,Chicago,"3,877"
Chicago Theatre,Chicago,"3,600"
Civic Opera House,Chicago,"3,563"
House of Blues,Chicago,"1,300"
Wintrust Arena,Chicago,"10,387"
Huntington Bank Pavilion,Chicago,"30,000"
Lincoln Hall,Chicago,507
Park West Theatre,Chicago,900
Riviera Theatre,Chicago,"2,500"
Schuba's,Chicago,150
Soldier Field,Chicago,"63,500"
Thalia Hall,Chicago,500
Credit Union 1 Arena,Chicago,"10,000"
United Center,Chicago,"23,500"
The Vic Theatre,Chicago,"1,400"
Wrigley Field,Chicago,"40,929"
TaxSlayer Center,Moline,"12,000"
Peoria Civic Center,Peoria,"12,036"
Allstate Arena,Rosemont,"18,500"
Rosemont Theatre,Rosemont,"4,400"
Hollywood Casino Amphitheatre,Tinley Park,"28,000"
Genesee Theatre,Waukegan,"2,427"
Ford Center,Evansville,"11,000"
Allen County War Memorial Coliseum,Fort Wayne,"11,000"
Hinkle Fieldhouse,Indianapolis,"9,100"
Bankers Life Fieldhouse,Indianapolis,"19,000"
Indiana Farmers Coliseum,Indianapolis,"6,800"
Old National Centre,Indianapolis,"2,600"
Lucas Oil Stadium,Indianapolis,"70,000"
Ruoff Home Mortgage Music Center,Noblesville,"24,550"
Wells Fargo Arena,Des Moines,"16,285"
Iowa State Fair,Des Moines,"10,605"
Hoyt Sherman Place,Des Moines,"1,252"
Carver-Hawkeye Arena,Iowa City,"15,400"
Jack Trice Stadium,Ames,"61,500"
United Wireless Arena,Dodge City,"5,500"
Intrust Bank Arena,Wichita,"15,000"
Hartman Arena,Wichita,"5,000"
Cessna Stadium,Wichita,"31,500"
Providence Medical Center Amphitheater,Bonner Springs,"18,000"
BB&T Arena,Highland Heights,"8,000"
Rupp Arena,Lexington,"24,500"
Lexington Opera House,Lexington,"1,000"
Memorial Coliseum,Lexington,"10,000"
KFC Yum! Center,Louisville,"17,500"
Freedom Hall,Louisville,"19,200"
Brown Theatre,Louisville,"1,400"
The Louisville Palace,Louisville,"2,700"
Eastern Kentucky Expo Center,Pikeville,"7,000"
Tipitina's,New Orleans,"1,000"
Carver Theater,New Orleans,500
Civic Theatre,New Orleans,"1,200"
House of Blues,New Orleans,843
The Howlin' Wolf,New Orleans,"1,200"
Joy Theater,New Orleans,"1,250"
Lakefront Arena,New Orleans,"8,981"
Mahalia Jackson Theater of the Performing Arts,New Orleans,"2,100"
Mercedes-Benz Superdome,New Orleans,"73,250"
Orpheum Theater,New Orleans,"1,500"
Saenger Theatre,New Orleans,"2,600"
Smoothie King Center,New Orleans,"17,812"
State Palace Theatre,New Orleans,"3,335"
Tad Gormley Stadium,New Orleans,"26,500"
The Fillmore New Orleans,New Orleans,"2,000"
Rapides Parish Coliseum,Alexandria,"6,500"
BREC Memorial Stadium,Baton Rouge,"21,500"
F. G. Clark Center,Baton Rouge,"7,500"
Greek Theatre,Baton Rouge,"3,500"
LSU Tiger Band Hall,Baton Rouge,325
Pete Maravich Assembly Center,Baton Rouge,"13,215"
Raising Cane's River Center Arena,Baton Rouge,"8,900"
River Center Theater for Performing Arts,Baton Rouge,"1,999"
Tiger Stadium (LSU),Baton Rouge,"102,321"
CenturyLink Center,Bossier City,"14,000"
Fredrick C. Hobdy Assembly Center,Grambling,"7,500"
University Center,Hammond,"7,500"
Houma Terrebonne Civic Center,Houma,"5,000"
Pontchartrain Center,Kenner,"3,700"
Cajundome,Lafayette,"13,500"
Burton Coliseum,Lake Charles,"8,500"
Jefferson Performing Arts Center,Metairie,"1,500"
Shrine on Airline,Metairie,"10,000"
Fant–Ewing Coliseum,Monroe,"7,085"
Monroe Civic Center,Monroe,"7,600"
Prather Coliseum,Natchitoches,"3,900"
Thomas Assembly Center,Ruston,"8,000"
Hirsch Memorial Coliseum,Shreveport,"10,300"
RiverView Theater,Shreveport,"1,725"
Shreveport Municipal Memorial Auditorium,Shreveport,"3,200"
Harang Jr. Municipal Auditorium,Thibodaux,"3,500"
Stopher Gymnasium,Thibodaux,"3,800"
Alario Center,Westwego,"2,400"
Cross Insurance Center,Bangor,"8,500"
Darling's Waterfront Pavilion,Bangor,"16,000"
State Theatre,Portland,"1,870"
Cross Insurance Arena,Portland,"9,500"
MECU Pavilion,Baltimore,"4,400"
M&T Bank Stadium,Baltimore,"71,250"
Royal Farms Arena,Baltimore,"14,000"
Rams Head Live!,Baltimore,"1,500"
FedExField,Landover,"79,000"
SECU Arena,Towson,"5,200"
Xfinity Center,College Park,"17,955"
Merriweather Post Pavilion,Columbia,"19,319"
TD Garden,Boston,"19,600"
Fenway Park,Boston,"37,949"
Agganis Arena,Boston,"7,200"
Orpheum Theatre,Boston,"2,700"
Rockland Trust Bank Pavilion,Boston,"5,200"
House of Blues,Boston,"2,425"
Wilbur Theatre,Boston,"1,200"
Paradise Rock Club,Boston,933
Xfinity Center,Mansfield,"19,900"
Gillette Stadium,Foxborough,"69,004"
Tsongas Center,Lowell,"7,800"
Lowell Memorial Auditorium,Lowell,"2,800"
Lynn Memorial City Hall and Auditorium,Lynn,"2,000"
DCU Center,Worcester,"14,800"
Kellogg Arena,Battle Creek,"6,500"
Royal Oak Music Theatre,Royal Oak,"1,700"
Little Caesars Arena,Detroit,"22,000"
Ford Field,Detroit,"62,755"
Fox Theatre,Detroit,"5,174"
