Venue,City,Capacity
Fiserv Forum,Milwaukee,"17,500"
American Family Insurance Amphitheater,Milwaukee,"15,112"
Milwaukee Panther Arena,Milwaukee,"12,700"
Miller High Life Theatre,Milwaukee,"4,086"
Riverside Theater,Milwaukee,"2,450"
Eagles Ballroom,Milwaukee,"1,500"
Pabst Theater,Milwaukee,"1,339"
Kohl Center,Madison,"17,230"
Alliant Energy Center,Madison,"10,231"
Orpheum Theater,Madison,"1,697"
Overture Center for the Arts,Madison,"2,255"
Lambeau Field,Green Bay,"80,735"
Resch Center,Green Bay,"10,200"
Kress Events Center,Green Bay,"4,018"
Weidner Center,Green Bay,"2,021"
