,links,metro_code,postal_code,timezone,has_upcoming_events,id,city,stats,extended_address,display_location,state,score,location,access_method,num_upcoming_events,address,capacity,slug,name,url,country,popularity,name_v2,tm_venue
500,[],501,12564,America/New_York,True,75408,Pawling,{'event_count': 56},"Pawling, NY 12564","Pawling, NY",NY,0.4485817,"{'lat': 41.534, 'lon': -73.5842}",,56,130 Route 22,200,daryl-s-house,Daryl's House,https://seatgeek.com/venues/daryl-s-house/tickets,US,0,Daryl's House,Daryl's House
501,[],501,10002,America/New_York,False,300641,New York,{'event_count': 0},"New York, NY 10002","New York, NY",NY,0.0,"{'lat': 40.7213, 'lon': -73.9884}",,0,95 Stanton Street,0,arlene-s-grocery-1,Arlene's Grocery,https://seatgeek.com/venues/arlene-s-grocery-1/tickets,US,0,Arlene's Grocery,Arlene's Grocery
502,[],501,11217,America/New_York,False,6817,Brooklyn,{'event_count': 0},"Brooklyn, NY 11217","Brooklyn, NY",NY,0.0,"{'lat': 40.6859, 'lon': -73.9816}",,0,487 Atlantic Avenue,0,eastville-comedy-club,EastVille Comedy Club,https://seatgeek.com/venues/eastville-comedy-club/tickets,US,0,EastVille Comedy Club,EastVille Comedy Club - Brooklyn
503,[],532,10010,America/New_York,False,32061,New York,{'event_count': 0},"New York, NY 10010","New York, NY",NY,0.5739002,"{'lat': 43.2994, 'lon': -74.2179}",,0,44 East 32nd Street,250,the-cutting-room,The Cutting Room,https://seatgeek.com/venues/the-cutting-room/tickets,US,0,The Cutting Room,Cutting Room
504,[],501,10009,America/New_York,True,7715,New York,{'event_count': 9},"New York, NY 10009","New York, NY",NY,0.3478768,"{'lat': 40.7903, 'lon': -73.9538}",,9,85 Avenue A,0,drom-1,DROM,https://seatgeek.com/venues/drom-1/tickets,US,0,DROM,Drom
505,[],501,10994,America/New_York,False,77963,West Nyack,{'event_count': 0},"West Nyack, NY 10994","West Nyack, NY",NY,0.0,"{'lat': 41.0981, 'lon': -73.9527}",,0,4210 Palisades Center Dr.,0,west-nyack-levity-live-comedy-club,West Nyack Levity Live Comedy Club,https://seatgeek.com/venues/west-nyack-levity-live-comedy-club/tickets,US,0,West Nyack Levity Live Comedy Club,Nyack Levity Live
506,[],517,28205,America/New_York,True,1064,Charlotte,{'event_count': 41},"Charlotte, NC 28205","Charlotte, NC",NC,0.6348685,"{'lat': 35.2051, 'lon': -80.7952}",,41,2700 E Independence Blvd,9605,bojangles-coliseum,Bojangles' Coliseum,https://seatgeek.com/venues/bojangles-coliseum/tickets,US,0,Bojangles' Coliseum,Bojangles' Coliseum
507,[],518,27403,America/New_York,True,4318,Greensboro,{'event_count': 82},"Greensboro, NC 27403","Greensboro, NC",NC,0.7173608,"{'lat': 36.058, 'lon': -79.8248}","{'employee_only': False, 'created_at': '2015-08-04T00:00:00Z', 'method': 'QRCODE_TM'}",82,1921 West Lee Street,23500,greensboro-coliseum-complex-1,Greensboro Coliseum Complex,https://seatgeek.com/venues/greensboro-coliseum-complex-1/tickets,US,0,Greensboro Coliseum Complex,Greensboro Coliseum Complex
508,[],517,28202,America/New_York,True,112,Charlotte,{'event_count': 56},"Charlotte, NC 28202","Charlotte, NC",NC,0.7505418,"{'lat': 35.2248, 'lon': -80.8403}","{'employee_only': False, 'created_at': '2015-07-06T00:00:00Z', 'method': 'QRCODE_TM'}",56,333 East Trade Street,18504,spectrum-center,Spectrum Center,https://seatgeek.com/venues/spectrum-center/tickets,US,0,Spectrum Center,Spectrum Center 
509,[],560,27607,America/New_York,True,1430,Raleigh,{'event_count': 84},"Raleigh, NC 27607","Raleigh, NC",NC,0.72559315,"{'lat': 35.804, 'lon': -78.7265}","{'employee_only': False, 'created_at': '2018-11-17T19:38:40Z', 'method': 'PDF417'}",84,1400 Edwards Mill Road,19350,pnc-arena,PNC Arena,https://seatgeek.com/venues/pnc-arena/tickets,US,0,PNC Arena,PNC Arena
510,[],567,28801,America/New_York,True,1486,Asheville,{'event_count': 34},"Asheville, NC 28801","Asheville, NC",NC,0.613554,"{'lat': 35.5985, 'lon': -82.5531}",,34,87 Haywood Street,7654,u-s-cellular-center,U.S. Cellular Center,https://seatgeek.com/venues/u-s-cellular-center/tickets,US,0,U.S. Cellular Center,U.S. Cellular Center Asheville
511,[],517,28262,America/New_York,True,62,Charlotte,{'event_count': 4},"Charlotte, NC 28262","Charlotte, NC",NC,0.74753565,"{'lat': 35.3274, 'lon': -80.7107}","{'employee_only': False, 'created_at': '2015-07-18T00:00:00Z', 'method': 'QRCODE_TM'}",4,707 Pavilion Boulevard,19500,pnc-music-pavilion,PNC Music Pavilion,https://seatgeek.com/venues/pnc-music-pavilion/tickets,US,0,PNC Music Pavilion,PNC Music Pavilion
512,[],517,28206,America/New_York,True,568,Charlotte,{'event_count': 39},"Charlotte, NC 28206","Charlotte, NC",NC,0.5361956,"{'lat': 35.2024, 'lon': -80.8432}",,39,820 Hamilton St,2000,the-fillmore-charlotte,The Fillmore - Charlotte,https://seatgeek.com/venues/the-fillmore-charlotte/tickets,US,0,The Fillmore - Charlotte,The Fillmore Charlotte presented by Cricket Wireless
513,[],560,27601,America/New_York,True,2346,Raleigh,{'event_count': 4},"Raleigh, NC 27601","Raleigh, NC",NC,0.6094577,"{'lat': 35.7738, 'lon': -78.6431}",,4,500 South McDowell Street,5990,red-hat-amphitheater,Red Hat Amphitheater,https://seatgeek.com/venues/red-hat-amphitheater/tickets,US,0,Red Hat Amphitheater,Red Hat Amphitheater
514,[],517,28206,America/New_York,True,2698,Charlotte,{'event_count': 1},"Charlotte, NC 28206","Charlotte, NC",NC,0.62394744,"{'lat': 35.2391, 'lon': -80.8461}",,1,1000 NC Music Factory Blvd,5000,charlotte-metro-credit-union-amphitheatre-1,Charlotte Metro Credit Union Amphitheatre,https://seatgeek.com/venues/charlotte-metro-credit-union-amphitheatre-1/tickets,US,0,Charlotte Metro Credit Union Amphitheatre,Charlotte Metro Credit Union Amphitheatre
515,[],560,27610,America/New_York,True,61,Raleigh,{'event_count': 3},"Raleigh, NC 27610","Raleigh, NC",NC,0.72392064,"{'lat': 35.7456, 'lon': -78.584}","{'employee_only': False, 'created_at': '2015-10-17T20:02:51Z', 'method': 'QRCODE_TM'}",3,3801 Rock Quarry Road,20000,coastal-credit-union-music-park-at-walnut-creek,Coastal Credit Union Music Park at Walnut Creek,https://seatgeek.com/venues/coastal-credit-union-music-park-at-walnut-creek/tickets,US,0,Coastal Credit Union Music Park at Walnut Creek,Coastal Credit Union Music Park at Walnut Creek
