,venue_name,id,capacity,street,zip,latitude,longitude,metro_area
163,Pendleton Rodeo Arena,3284694,,,97801,45.672075,-118.7885967,Spokane
164,The Miracle Theatre,2216084,,"535 8th St, SE",20003,38.881679999999996,-76.99512,Washington
165,Miracle Theatre - Dc,4013279,,,20003,38.883140000000004,-76.99023000000003,Washington
166,CenturyLink Center,569,,2000 CenturyTel Center Dr.,71112,32.4689,-93.6705,Shreveport
167,CenturyLink Field Event Center,47468,,,,,,Seattle
168,M Resort Spa Casino,498106,,"12300 Las Vegas Boulevard, South",89044,35.96570999999999,-115.17273999999999,Henderson
169,M Resort Spa & Casino Showroom,2683133,,12300 S Las Vegas Blvd,89044,35.96477210000001,-115.1684896,Henderson
170,"Poolside, M Resort Spa Casino",963646,,,89044,35.9208835,-115.1652008,Las Vegas
171,Tin Roof - Indianapolis,1866713,,"36 S. Pennsylvania St., Unit 190",46204,39.7659801,-86.15659649999998,Indianapolis
172,Festival at Sandpoint,1018051,,Memorial Field 855 Ontario St.,83864,48.2657989,-116.55976470000002,Sandpoint
173,Schweitzer Mountain Music Festival Grounds,827601,,"10000 Schweitzer Mountain Rd  Sandpoint, ID",83864,48.3679757,-116.62274409999999,Sandpoint
174,Jerry Festival,997631,,Camp Eureka,,48.274739000000004,-116.5546201,Sandpoint
175,Eichelberger Performing Arts Center,5493,,195 Stock Street,17331,39.80583,-76.98607,Baltimore
176,Canton Hall,3622809,,2727 Canton Street,75226,32.78247,-96.78326,Dallas - Fort Worth
177,Cobb Energy Performing Arts Centre,2878,,2800 Cobb Galleria Parkway,30339,33.884426899999994,-84.4583631,Atlanta
178,The Strand Theatre,4375,,619 Louisiana Ave.,71101,32.51,-93.74996,Shreveport
179,"Red Room, Cafe 939, Berklee College of Music",15777,200.0,939 Boylston St.,02215,42.346661,-71.08951409999997,Boston / Cambridge
180,Xfinity Theatre,69228,,61 Savitt Way,06120,41.7801718,-72.6693191,Springfield
181,RNCM Theatre,1078211,607.0,124 Oxford Road,M13 9RD,53.46410820000001,-2.2314898999999997,Manchester
182,SFX Theatre,43110,,,,,,Dublin
183,BAL Theatre,527826,,14808 East 14th St,94578,37.70878,-122.13287,SF Bay Area
184,"VIP Pavilion, Xfinity Theatre",3907854,,,06120,41.78881,-72.67129,Springfield
185,SVA Theatre,1136986,,333 West 23rd Street,10011,40.745927,-73.999747,New York
186,A.E.C. Theatre,1193581,,Corner Port Rd and Adam St,,-34.9087183,138.5767638,Adelaide
187,ABC Theatre,82771,,,,,,Blackpool
188,SKYCITY Theatre,104621,,78 Victoria St W,1010,-36.8482901,174.7618895,Auckland
189,ABC Theatre,115701,,Foregate Street,,53.1913355,-2.8858302000000005,Liverpool
190,JUTE Theatre,67943,,",",,-16.9185514,145.7780548,Cairns
191,UCB Theatre,73454,,,,,,New York
192,RKO Theatre,85324,,,,,,New York
193,ABC Theatre,49133,,,,,,Belfast
194,MAC Theatre,131437,,Cannon Hill Park,B12 9QH,52.452191299999996,-1.8988996,Birmingham
195,ABC Theatre,86425,,,,,,Plymouth
196,IMB Theatre,14870,,,2500,-34.424984,150.8931239,Wollongong
197,C Theatre,753326,,,95814,38.582493299999996,-121.49417379999998,Sacramento
198,AAAA Theatre,473071,,,,,,Alexandria
199,ABC Theatre,109278,,,,,,Edinburgh
200,RVA Theatre,2544209,,140 Virginia St.,23219,37.533432,-77.43401949999998,Richmond
201,VS. Theatre,1479088,,5453 W. Pico Blvd.,90019,34.04897570000001,-118.3572717,Los Angeles
202,ABC Theatre,109174,,Ardwick Green,,53.4712576,-2.2249256,Manchester
203,YMCA Theatre,3693474,290.0,St Thomas St,YO11 1DY,54.28360060000001,-0.3999569000000001,York
204,IMAC Theatre,65711,,,11743,40.87869910000001,-73.4062342,New York
205,ODA Theatre,3570639,,Youth and Sports Center,10030,42.661136799999994,21.1565244,Pristina
206,ABC Theatre,98105,,,,,,Middlesbrough
207,BEMAC Theatre,3155059,,102 Main Street Kangaroo Point,,-27.466794,153.03556899999995,Brisbane
208,SAS Theatre,3769609,140.0,1641 30 St NE,V1E 4P2,50.7117542,-119.2507803,Kamloops
209,NACL Theatre,4304689,,110 Highland Lake Road,,41.52545,-74.855,Highland Lake
210,IFT Theatre,578051,,,,,,Buenos Aires
211,RPM Theatre,90119,,,,,,Toronto
212,M Theatre,2565194,,"M Theatre 2884/2 New Pechburi Rd.,Bangkapi, Huakwang, Bangkok 10320",,13.7278956,100.5241235,Bangkok
213,CTG Theatre,3173229,500.0,520 S. Elm Street,27406,36.066590999999995,-79.79108599999998,Greensboro
214,STAGES Theatre,2546909,,400 East Commonwealth Ave,92832,33.8699515,-117.91707020000001,Los Angeles
215,PDCI Theatre,343341,,,,,,Ottawa
216,APC Theatre,1451198,,,90011,34.007889,-118.2585096,Los Angeles
217,CCA Theatre,4177144,,350 Sauchiehall Street,G2 3JD,55.86577,-4.26513,Glasgow
218,UDK Theatre,95482,,,,,,Berlin
219,TUYZ Theatre,3641439,,603000 Maxima Gorkogo St. 145,,56.31283570000001,43.990129700000004,Moscow
220,OK Theatre,3505169,,208 W Main St,97828,45.425258899999996,-117.279344,Portland
221,ABC Theatre,2487679,400.0,Grey St,4101,-27.476205699999998,153.0198206,Brisbane
222,MADE Theatre,2630693,,,,-37.5636495,143.8671868,Ballarat
223,CLF Theatre,3231349,,"Bussey Building, 133 Rye Ln, Peckham",SE15 4ST,51.4698563,-0.0679964,London
224,ABC Theatre,49135,,,,,,Dublin
225,H.M. Theatre,113051,,,,,,Melbourne
226,BMC Theatre,3567794,30.0,2 Florence Street,,-37.858390299999996,145.11091389999999,Melbourne
227,FTH Theatre,3693499,,"Westbridge Street,",FK1 5RS,56.0004036,-3.7898566,Glasgow
228,NYA Theatre,125477,,,,,,Horsens
229,UPC Theatre,100890,,,,,,Krakow
230,Westside Pavilion - Black Oak Casino Resort,4220934,,,95379,37.9627,-120.2413,Tuolumne
231,MetLife Stadium,33587,82500.0,One MetLife Stadium Drive,07073,40.8142092,-74.0736902,Jersey City
232,Pearl Concert Theater at Palms Casino Resort,851361,,4321 W. Flamingo Rd.,89103,36.114129999999996,-115.19651,Las Vegas
233,The Funhouse at Mr. Small's,2567349,800.0,400 Lincoln Ave.,15209,40.4808658,-79.9722298,Pittsburgh
234,The Mr. Roboto Project / the Funhouse at Mr. Smalls / Cafe Verona,4247964,,Pittsburgh,15224,40.4672,-79.94445,Pittsburgh
235,"Terry Fator Theatre, Mirage Hotel & Casino",821031,,3400 S. Las Vegas Blvd.,89109,36.12059,-115.17238,Las Vegas
236,"Drum Theater, Dandenong Town Hall",176113,,,,,,Melbourne
237,Buchanas Nightclub,4338263,,,37013,36.05927,-86.67061,Nashville
