,created_at,datetime_local,general_admission,id,popularity,score,short_title,url,listing_count,average_price,median_price,lowest_price,venue_name,venue_popularity,venue_address,venue_city,venue_state,venue_zip,venue_id
1220,2019-05-07T16:05:57,2019-08-09T20:00:00,False,4857264,0.531,0.394,The Mountain Goats,https://seatgeek.com/the-mountain-goats-tickets/new-haven-connecticut-college-street-music-hall-2019-08-09-8-pm/concert/4857264,3.0,75.0,72.0,66.0,College Street Music Hall,0,238 College Street,New Haven,CT,06510,77956
1221,2019-07-29T16:19:58,2019-08-09T22:30:00,False,4945456,0.533,0.377,Karl Denson,https://seatgeek.com/karl-denson-tickets/mashantucket-connecticut-fox-theater-at-foxwoods-resort-casino-4-2019-08-09-10-30-pm/concert/4945456,12.0,86.0,85.0,69.0,Fox Theater at Foxwoods Resort & Casino,0,601 Eddy St.,Mashantucket,CT,06365,422357
1222,2019-07-04T16:09:29,2019-08-10T10:00:00,True,4921504,0.0,0.0,Water Colors,https://seatgeek.com/water-colors-tickets/hartford-connecticut-party-house-parking-lot-2019-08-10-10-am/concert/4921504,,,,,Party House Parking Lot,0,2568 Main ST,Hartford,CT,06120,447144
1223,2019-05-16T16:03:43,2019-08-10T11:00:00,False,4867002,0.0,0.0,Lisa Loeb,https://seatgeek.com/lisa-loeb-tickets/norwalk-connecticut-wall-street-theater-2019-08-10-11-am/concert/4867002,,,,,Wall Street Theater,0,71 Wall Street,Norwalk,CT,06850,143642
1224,2019-07-07T16:01:00,2019-08-10T12:00:00,True,4923107,0.0,0.0,Classic Summer Disco Extravaganza for a Great Cause,https://seatgeek.com/classic-summer-disco-extravaganza-for-a-great-cause-tickets/stamford-connecticut-the-italian-center-of-stamford-2019-08-10-12-pm/concert/4923107,,,,,The Italian Center of Stamford,0,1620 Newfield Avenue,Stamford,CT,06905,243015
1225,2019-07-22T15:06:08,2019-08-10T16:00:00,False,4935165,0.0,0.0,Jazz Jam Session,https://seatgeek.com/jazz-jam-session-tickets/new-haven-connecticut-cafe-nine-2019-08-10-4-pm/concert/4935165,,,,,Cafe Nine,0,250 State Street,New Haven,CT,06510,9460
1226,2019-02-26T16:06:48,2019-08-10T18:30:00,False,4760651,0.709,0.654,Korn with Alice in Chains,https://seatgeek.com/korn-with-alice-in-chains-tickets/hartford-connecticut-xfinity-theatre-2019-08-10-6-30-pm/concert/4760651,82.0,109.0,89.0,42.0,Xfinity Theatre,0,61 Savitt Way,Hartford,CT,06120,3700
1227,2019-04-09T16:07:52,2019-08-10T20:00:00,False,4812476,0.584,0.478,MC Hammer with 2 Live Crew and Kid N Play,https://seatgeek.com/mc-hammer-with-2-live-crew-and-kid-n-play-tickets/mashantucket-connecticut-grand-theater-at-foxwoods-resort-casino-2019-08-10-8-pm/concert/4812476,18.0,141.0,134.0,112.0,Grand Theater at Foxwoods Resort & Casino,0,350 Trolley Line Blvd,Mashantucket,CT,06339,484
1228,2019-02-17T16:03:06,2019-08-10T20:00:00,False,4751006,0.0,0.0,Howie Day,https://seatgeek.com/howie-day-tickets/hartford-connecticut-infinity-hall-hartford-2019-08-10-8-pm/concert/4751006,7.0,94.0,100.0,50.0,Infinity Hall Hartford,0,32 Front Street,Hartford,CT,06103,59680
1229,2019-05-01T16:07:15,2019-08-10T20:00:00,True,4847602,0.0,0.0,The Regrettes with Hot Flash Heat Wave,https://seatgeek.com/the-regrettes-with-hot-flash-heat-wave-tickets/hamden-connecticut-space-ballroom-2019-08-10-8-pm/concert/4847602,2.0,75.0,72.0,72.0,Space Ballroom,0,295 Treadwell Street,Hamden,CT,06514,145802
1230,2019-02-23T16:06:36,2019-08-10T20:00:00,False,4758122,0.456,0.426,Entrain,https://seatgeek.com/entrain-tickets/norfolk-connecticut-infinity-hall-2019-08-10-8-pm/concert/4758122,4.0,106.0,93.0,93.0,Infinity Hall,0,20 Greenwoods Road West,Norfolk,CT,06058,841
1231,2019-03-23T16:04:49,2019-08-10T21:00:00,False,4794705,0.0,0.0,Sarah Borges with The Split Coils (21+),https://seatgeek.com/sarah-borges-with-the-split-coils-21-tickets/new-haven-connecticut-cafe-nine-2019-08-10-9-pm/concert/4794705,,,,,Cafe Nine,0,250 State Street,New Haven,CT,06510,9460
