,displayName,id,onTourUntil
0,Them Guilty Aces,5954884,2019-08-09
0,Justin Hayward,225631,2019-11-08
1,DJ Justin Hayward,3554826,
2,Justin Hayward of the Moody Blues,7832859,
3,Justin Hayward of Moody Blues,6610294,
0,Freddie Jackson,94161,2019-10-19
1,The Whispers Freddie Jackson,8132918,
2,Jeffrey Osborn Peabo Bryson Freddie Jackson,6416809,
3,Gladys Knight Freddie Jackson the Delfonics,5638909,
4,Freddie Jackson Cache Creek Casino,8693778,
5,Freddie Jackson Cache Creek,8693773,
0,Alvaro Torres,21952,2019-10-12
0,The Floozies,115595,2020-02-06
1,The Born Again Floozies,295278,
0,Wendy Williams,948281,2019-10-05
1,Wendy O. Williams,296350,
0,Kirk Fletcher,522526,2020-02-14
1,The Kirk Fletcher Trio,2977426,
2,KIRK FLETCHER BAND,1701641,
3,Big Kirk Fletcher,4481608,
4,Kirk Fletcher Und Shawn Pittman Band,4542818,
0,Kev the Pope,10065411,2019-11-16
0,Mary Chapin Carpenter,304943,2019-12-12
0,Coma Alliance,9629659,2019-11-16
0,Chris Knight,204894,2019-11-22
1,Chris Knight Band,3158101,
2,Chris Knight Full Band,3906566,
3,Chris Knight 407,8263483,
0,Peter Asher,2791316,2019-09-23
1,Peter Asher Memoirs,4073701,
